Date, Open, High, Low, Close
05/18/21, 27.5500, 27.6500, 27.3500, 27.4500
05/17/21, 27.6500, 27.7500, 27.4500, 27.5500
05/14/21, 27.6500, 27.7500, 27.4500, 27.6500
05/13/21, 27.6500, 27.8500, 27.5500, 27.6500
05/12/21, 27.7500, 27.8500, 27.5500, 27.6500
05/11/21, 27.8500, 27.8500, 27.5500, 27.6500
05/10/21, 27.7500, 27.8500, 27.6500, 27.8500
05/07/21, 27.8500, 27.9500, 27.6500, 27.7500
05/06/21, 27.7500, 27.9500, 27.6500, 27.8500
05/05/21, 27.8500, 27.9500, 27.6500, 27.7500
05/04/21, 27.8500, 27.8500, 27.8500, 27.8500
05/03/21, 27.8500, 27.9500, 27.8500, 27.8500
04/30/21, 27.6500, 27.9500, 27.6500, 27.8500
04/29/21, 27.7500, 27.9500, 27.6500, 27.6500
04/28/21, 27.7500, 28.1500, 27.6500, 27.7500
04/27/21, 27.7500, 28.1500, 27.6500, 27.7500
04/26/21, 27.9500, 28.0500, 27.7500, 27.7500
04/23/21, 27.9500, 28.1500, 27.8500, 27.9500
04/22/21, 28.1500, 28.2500, 27.8500, 27.9500
04/21/21, 28.0500, 28.2500, 27.9500, 28.1500
04/20/21, 28.0500, 28.1500, 27.9500, 28.0500
04/19/21, 28.0500, 28.1500, 27.9500, 28.0500
04/16/21, 28.0500, 28.1500, 27.9500, 28.0500
04/15/21, 27.9500, 28.1500, 27.8500, 28.0500
04/14/21, 28.1500, 28.2500, 27.8500, 27.9500
04/13/21, 28.0500, 28.2500, 27.8500, 28.1500
04/12/21, 27.9500, 28.1500, 27.8500, 28.0500
04/09/21, 27.9500, 28.0500, 27.8500, 27.9500
04/08/21, 27.9500, 28.1500, 27.8500, 27.9500
04/07/21, 27.8500, 28.1500, 27.7500, 27.9500
04/06/21, 27.9500, 28.0500, 27.7500, 27.8500
04/05/21, 28.0500, 28.1500, 27.7500, 27.9500
04/02/21, 27.9500, 28.1500, 27.7500, 28.0500
04/01/21, 27.8500, 28.0500, 27.7500, 27.9500
03/31/21, 27.8500, 28.0500, 27.6500, 27.8500
03/30/21, 28.0500, 28.0500, 27.7500, 27.8500
03/29/21, 28.0500, 28.1500, 27.8500, 28.0500
03/26/21, 27.9500, 28.2500, 27.8500, 28.0500
03/25/21, 28.0500, 28.1500, 27.8500, 27.9500
03/24/21, 27.7500, 28.1500, 27.7500, 28.0500
03/23/21, 27.7500, 27.9500, 27.6500, 27.7500
03/22/21, 27.7500, 27.8500, 27.6500, 27.7500
03/19/21, 27.8500, 27.8500, 27.6500, 27.7500
03/18/21, 27.7500, 27.8500, 27.6500, 27.8500
03/17/21, 27.7500, 27.8500, 27.6500, 27.7500
03/16/21, 27.6500, 27.8500, 27.5500, 27.7500
03/15/21, 27.8500, 27.8500, 27.5500, 27.6500
03/12/21, 27.7500, 27.9500, 27.6500, 27.8500
03/11/21, 27.7500, 27.9500, 27.6500, 27.7500
03/10/21, 27.8500, 27.9500, 27.6500, 27.7500
03/09/21, 27.8500, 27.9500, 27.6500, 27.8500
03/08/21, 27.8500, 27.8500, 27.8500, 27.8500
03/05/21, 27.7500, 27.9500, 27.6500, 27.8500
03/04/21, 27.8500, 28.0500, 27.6500, 27.7500
03/03/21, 27.9500, 28.1500, 27.7500, 27.8500
03/02/21, 28.0500, 28.1500, 27.8500, 27.9500
03/01/21, 28.0500, 28.1500, 27.8500, 28.0500
02/26/21, 28.0500, 28.1500, 27.8500, 28.0500
02/25/21, 28.0500, 28.1500, 27.8500, 28.0500
02/24/21, 27.9500, 28.1500, 27.8500, 28.0500
02/23/21, 27.9500, 28.1500, 27.8500, 27.9500
02/22/21, 27.9500, 28.1500, 27.8500, 27.9500
02/19/21, 27.8500, 28.0500, 27.7500, 27.9500
02/18/21, 27.8500, 28.0500, 27.7500, 27.8500
02/17/21, 27.9500, 28.0500, 27.8500, 27.8500
02/16/21, 27.8500, 27.9500, 27.8500, 27.9500
02/15/21, 27.9500, 28.0500, 27.8500, 27.8500
02/12/21, 27.8500, 27.9500, 27.7500, 27.9500
02/11/21, 27.9500, 27.9500, 27.7500, 27.8500
02/10/21, 27.7500, 27.9500, 27.7500, 27.9500
02/09/21, 27.6500, 27.7500, 27.6500, 27.7500
02/08/21, 27.7500, 28.7500, 27.6500, 27.6500
02/05/21, 27.8500, 28.0500, 26.8500, 27.7500
02/04/21, 27.9500, 28.1500, 26.9500, 27.8500
02/03/21, 28.0500, 28.1500, 27.9500, 27.9500
02/02/21, 28.1500, 28.2500, 27.9500, 28.0500
02/01/21, 28.1500, 28.2500, 27.9500, 28.1500
01/29/21, 28.2500, 28.3500, 28.0500, 28.1500
01/28/21, 28.2500, 28.3500, 28.0500, 28.2500
01/27/21, 28.2500, 28.3500, 28.0500, 28.2500
01/26/21, 28.2500, 28.3500, 28.0500, 28.2500
01/25/21, 28.2500, 28.3500, 28.0500, 28.2500
01/22/21, 28.2500, 28.3500, 28.0500, 28.2500
01/21/21, 28.2500, 28.4500, 28.1500, 28.2500
01/20/21, 28.2500, 28.4500, 28.0500, 28.2500
01/19/21, 28.2500, 28.3500, 28.0500, 28.2500
01/18/21, 28.1500, 28.4500, 28.1500, 28.2500
01/15/21, 28.1500, 28.3500, 27.9500, 28.1500
01/14/21, 28.1500, 28.2500, 27.9500, 28.1500
01/13/21, 28.1500, 28.2500, 27.8500, 28.1500
01/12/21, 28.1500, 28.2500, 27.9500, 28.1500
01/11/21, 28.3500, 28.4500, 28.0500, 28.1500
01/08/21, 28.3500, 28.3500, 28.3500, 28.3500
01/07/21, 28.3500, 28.3500, 28.3500, 28.3500
01/06/21, 28.4500, 28.4500, 28.1500, 28.3500
01/05/21, 28.5500, 28.6500, 28.2500, 28.4500
01/04/21, 28.5500, 28.6500, 28.2500, 28.5500
01/01/21, 28.3500, 28.5500, 28.3500, 28.5500
12/31/20, 28.3500, 28.3500, 28.3500, 28.3500
12/30/20, 28.2500, 28.5500, 28.1500, 28.3500
12/29/20, 28.3500, 28.4500, 28.1500, 28.2500
12/28/20, 28.4500, 28.5500, 28.2500, 28.3500
12/25/20, 28.4500, 28.4500, 28.4500, 28.4500
12/24/20, 28.5500, 28.5500, 28.2500, 28.4500
12/23/20, 28.4500, 28.6500, 28.2500, 28.5500
12/22/20, 28.1500, 28.5500, 28.0500, 28.4500
12/21/20, 28.0500, 28.3500, 27.9500, 28.1500
12/18/20, 27.8500, 28.1500, 27.6500, 28.0500
12/17/20, 27.8500, 28.0500, 27.7500, 27.8500
12/16/20, 27.7500, 28.0500, 27.6500, 27.8500
12/15/20, 27.9500, 28.0500, 27.6500, 27.7500
12/14/20, 28.0500, 28.1500, 27.7500, 27.9500
12/11/20, 28.0500, 28.1500, 27.8500, 28.0500
12/10/20, 28.1500, 28.2500, 27.9500, 28.0500
12/09/20, 28.1500, 28.2500, 27.9500, 28.1500
12/08/20, 28.1500, 28.3500, 28.0500, 28.1500
12/07/20, 28.3500, 28.4500, 28.0500, 28.1500
